,año,mes,festividad,nom_comuna,conducta,cantidad
243,2023,4,Domingo de Pascua o Resurreccion,La Concordia,HURTO A ENTIDADES COMERCIALES,1.0
244,2023,4,Domingo de Pascua o Resurreccion,La Ciudadela,HURTO A PERSONAS,2.0
245,2023,4,Domingo de Pascua o Resurreccion,Sur Occidente,HURTO A PERSONAS,1.0
246,2023,4,Domingo de Pascua o Resurreccion,La Pedregosa,HURTO A PERSONAS,2.0
247,2023,4,Domingo de Pascua o Resurreccion,Provenza,VIOLENCIA INTRAFAMILIAR,2.0
248,2023,4,Domingo de Pascua o Resurreccion,Sur,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.3333333333333333
249,2023,4,Domingo de Pascua o Resurreccion,Cabecera del Llano,HURTO A PERSONAS,2.0
250,2023,4,Domingo de Pascua o Resurreccion,Oriental,HURTO A PERSONAS,2.0
251,2023,4,Domingo de Pascua o Resurreccion,Morrorico,LESIONES PERSONALES,3.0
252,2023,4,Domingo de Pascua o Resurreccion,Centro,LESIONES PERSONALES,4.5
253,2023,4,Domingo de Pascua o Resurreccion,Lagos del Cacique,HURTO A RESIDENCIAS,1.0
254,2023,4,Domingo de Pascua o Resurreccion,Mutis,HURTO A PERSONAS,1.0
255,2023,4,Dia de la Tierra,Norte,HURTO A PERSONAS,2.0
256,2023,4,Dia de la Tierra,Nor Oriental,HURTO A MOTOCICLETAS,1.0
257,2023,4,Dia de la Tierra,San Francisco,HURTO A RESIDENCIAS,2.0
258,2023,4,Dia de la Tierra,Occidental,HURTO A PERSONAS,1.0
259,2023,4,Dia de la Tierra,García Rovira,LESIONES PERSONALES,2.0
260,2023,4,Dia de la Tierra,La Concordia,HURTO A PERSONAS,1.0
261,2023,4,Dia de la Tierra,La Ciudadela,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.5
262,2023,4,Dia de la Tierra,Sur Occidente,HURTO A RESIDENCIAS,1.0
263,2023,4,Dia de la Tierra,La Pedregosa,HURTO A RESIDENCIAS,1.0
264,2023,4,Dia de la Tierra,Provenza,LESIONES PERSONALES,2.0
265,2023,4,Dia de la Tierra,Sur,LESIONES PERSONALES,1.0
266,2023,4,Dia de la Tierra,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.3333333333333335
267,2023,4,Dia de la Tierra,Oriental,HURTO A PERSONAS,1.0
268,2023,4,Dia de la Tierra,Morrorico,LESIONES PERSONALES,6.0
269,2023,4,Dia de la Tierra,Centro,LESIONES PERSONALES,2.0
270,2023,4,Dia de la Tierra,Lagos del Cacique,HURTO A PERSONAS,1.0
271,2023,4,Dia de la Tierra,Mutis,HURTO A PERSONAS,1.0
272,2023,4,Dia del Niño,Norte,VIOLENCIA INTRAFAMILIAR,1.75
273,2023,4,Dia del Niño,Nor Oriental,HURTO A PERSONAS,2.0
274,2023,4,Dia del Niño,San Francisco,LESIONES PERSONALES,1.0
275,2023,4,Dia del Niño,Occidental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.6666666666666665
276,2023,4,Dia del Niño,García Rovira,HURTO A ENTIDADES COMERCIALES,1.6666666666666667
277,2023,4,Dia del Niño,La Concordia,VIOLENCIA INTRAFAMILIAR,1.3333333333333333
278,2023,4,Dia del Niño,La Ciudadela,HURTO A PERSONAS,6.0
279,2023,4,Dia del Niño,Sur Occidente,HURTO A PERSONAS,6.0
280,2023,4,Dia del Niño,La Pedregosa,HURTO A PERSONAS,6.0
281,2023,4,Dia del Niño,Provenza,VIOLENCIA INTRAFAMILIAR,2.0
282,2023,4,Dia del Niño,Sur,VIOLENCIA INTRAFAMILIAR,1.6666666666666667
